source,STATUS_CODE,title,summary,date,link,type,ERROR,TIME
argumenti,200,30,30,30,30,30,,2023-05-24 22:01:15.550962
pravda,200,20,20,20,20,20,,2023-05-24 22:01:15.550965
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-24 22:01:15.550968
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-24 22:01:15.550970
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-24 22:01:15.550972
fontanka,200,30,30,30,30,30,,2023-05-24 22:01:15.550975
rbc,200,30,30,30,30,30,,2023-05-24 22:01:15.550977
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-24 22:01:15.550979
ria,200,98,0,98,98,98,,2023-05-25 00:01:17.658332
tass,200,97,94,97,97,97,,2023-05-25 00:01:17.658337
rosbalt,200,100,100,100,100,100,,2023-05-25 00:01:17.658340
ura,200,170,170,170,170,0,,2023-05-25 00:01:17.658343
mail,200,20,20,20,20,20,,2023-05-25 00:01:17.658400
regnum,,,,,,,"HTTPSConnectionPool(host='regnum.ru', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658413
izvestia,403,,,,,,,2023-05-25 00:01:17.658416
lenta,200,200,200,200,200,200,,2023-05-25 00:01:17.658419
kp,200,200,200,200,200,200,,2023-05-25 00:01:17.658422
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658425
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658427
interfax,200,25,25,25,25,25,,2023-05-25 00:01:17.658430
vedomosti,200,200,200,200,200,187,,2023-05-25 00:01:17.658433
aif,200,291,291,291,291,291,,2023-05-25 00:01:17.658436
rg,200,100,100,100,100,0,,2023-05-25 00:01:17.658439
argumenti,200,30,30,30,30,30,,2023-05-25 00:01:17.658441
pravda,200,20,20,20,20,20,,2023-05-25 00:01:17.658444
svoboda,,,,,,,"HTTPSConnectionPool(host='www.svoboda.org', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658447
currenttime,,,,,,,"HTTPSConnectionPool(host='www.currenttime.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658450
meduza,,,,,,,"HTTPSConnectionPool(host='meduza.io', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658452
fontanka,200,30,30,30,30,30,,2023-05-25 00:01:17.658455
rbc,200,30,30,30,30,30,,2023-05-25 00:01:17.658458
thebell,,,,,,,"HTTPSConnectionPool(host='thebell.io', port=443): Read timed out. (read timeout=5)",2023-05-25 00:01:17.658460
ria,200,98,0,98,98,98,,2023-05-25 08:01:11.881287
tass,200,99,97,99,99,99,,2023-05-25 08:01:11.881292
rosbalt,200,100,100,100,100,100,,2023-05-25 08:01:11.881293
ura,200,170,170,170,170,0,,2023-05-25 08:01:11.881295
mail,200,20,20,20,20,20,,2023-05-25 08:01:11.881296
regnum,200,100,100,100,100,100,,2023-05-25 08:01:11.881297
izvestia,403,,,,,,,2023-05-25 08:01:11.881298
lenta,200,200,200,200,200,200,,2023-05-25 08:01:11.881299
kp,200,200,200,200,200,200,,2023-05-25 08:01:11.881300
tvrain,,,,,,,"HTTPSConnectionPool(host='tvrain.tv', port=443): Read timed out. (read timeout=5)",2023-05-25 08:01:11.881302
mediazona,,,,,,,"HTTPSConnectionPool(host='zona.media', port=443): Read timed out. (read timeout=5)",2023-05-25 08:01:11.881303
interfax,200,25,25,25,25,25,,2023-05-25 08:01:11.881304
vedomosti,200,200,200,200,200,188,,2023-05-25 08:01:11.881305
