title,summary,date,link,type,source,date_parsed
США изучают возможность создания малых ядерных реакторов в Армении,"Координатор программ помощи американского правительства Европе и Евразии Мария Лонги сообщила, что ее страна добивается укрепления энергетической независимости других государствах от России и Китая",2023-5-23,https://tass.ru/ekonomika/17825503,Экономика и бизнес,tass,2023-05-23 23:53:39.827206
Врачи из Костромы будут проходить обучение в центре детской онкологии им. Рогачева,Центр готов принять участие в разработке и реализации стратегии развития детского здравоохранения в Костромской области,2023-5-23,https://tass.ru/obschestvo/17825501,Общество,tass,2023-05-23 23:53:39.827207
"В США заявили, что возможный дефолт приведет к потере экономических достижений властей","Пресс-секретарь Белого дома Карин Жан-Пьер сообщила, что республиканцы и демократы понимают, что последствия возможного дефолта ""будут тяжелыми для американского народа и американской экономики""",2023-5-23,https://tass.ru/ekonomika/17825481,Экономика и бизнес,tass,2023-05-23 23:53:39.827208
США выразили озабоченность продлением содержания под стражей Гершковича,Пресс-секретарь Белого дома Карин Жан-Пьер назвала безосновательными обвинения в адрес корреспондента The Wall Street Journal,2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825469,Международная панорама,tass,2023-05-23 23:53:39.827209
Система ПВО отразила атаку ВСУ в Харцызске,"По данным силовых структур ДНР, над городом произошло три взрыва",2023-5-23,https://tass.ru/proisshestviya/17825463,Происшествия,tass,2023-05-23 23:53:39.827210
Немецкий министр назвала экономику замкнутого цикла ключом к решению экологических проблем,"Министр охраны окружающей среды и ядерной безопасности ФРГ Штеффи Лемке отметила, что потребление сырья на душу населения в стране намного превышает средний мировой показатель",2023-5-23,https://tass.ru/ekonomika/17825441,Экономика и бизнес,tass,2023-05-23 23:53:39.827212
Определились все четвертьфинальные пары чемпионата мира по хоккею,"25 мая состоятся матчи США - Чехия, Швейцария - Германия, Канада - Финляндия и Швеция - Латвия",2023-5-23,https://tass.ru/sport/17825447,Спорт,tass,2023-05-23 23:53:39.827213
Долги по зарплатам шахтерам ДНР начнут выплачивать в течение двух дней,"Первый заместитель председателя правительства ДНР Андрей Чертков сообщил, что власти республики прорабатывают с предприятиями документы, чтобы выплатить всю зарплату до сентября",2023-5-23,https://tass.ru/obschestvo/17825435,Общество,tass,2023-05-23 23:53:39.827214
Афганистан и Китай открывают прямое авиасообщение,Прямые рейсы между странами начнутся 24 мая,2023-5-23,https://tass.ru/ekonomika/17825427,Экономика и бизнес,tass,2023-05-23 23:53:39.827215
Выборы в Ливии могут пройти в начале 2024 года,Законодательная власть в стране будет представлена двухпалатным парламентом,2023-5-23,https://tass.ru/mezhdunarodnaya-panorama/17825421,Международная панорама,tass,2023-05-23 23:53:39.827216
